# Format is:
# name, path, locationX, locationY, locationZ, scale, rotationX, rotationY, rotationZ, rotationW

# Objewwwcts
"DMC Bridge", "Models/objects/bridge/bridge.obj", 43.5f, 6.5f, 71.2f, 0.40f, 0f, 0.43f, 0f, 0.9260f
"ENS Bridge", "Models/objects/bridge/bridge.obj", -22f, 6.25f, 140f, 0.40f, 0f, 0.5120f, 0f, 0.8590f
# "Finish", "Models/objects/finishLine/finishLine.obj", -28.0f ,6.5f ,92.5f, 1f,0.0000f,0.8499f,0.0000f,0.5270f
"SSS Clock", "Models/objects/sscClock/sscClock.obj",-38.1f,7.0f,104.1f,0.15f,0.0000f,0.0000f,0.0000f,0.0000f
"Creation 1", "Models/objects/creation/creation.obj",-32.0f,7.15f,101.0f,0.13f,0.0000f,-0.5378f,0.0000f,0.8431f
"Creation 2", "Models/objects/creation/creation.obj",-31.5f,7f,103.0f,0.13f,0.0000f,-0.7249f,0.0000f,0.6888f
"Creation 3", "Models/objects/creation/creation.obj",-32.0f,7f,105.0f,0.13f,0.0000f,-0.8188f,0.0000f,0.5741f
"Creation 4", "Models/objects/creation/creation.obj",-33.0f,7f,107.0f,0.13f,0.0000f,0.8749f,0.0000f,-0.4843f
"Creation 5", "Models/objects/creation/creation.obj",-34.5f,7f,108.5f,0.13f,0.0000f,0.9477f,0.0000f,-0.3193f
"Creation 6", "Models/objects/creation/creation.obj",-36.5f,7.1f,110.0f,0.13f,0.0000f,0.9689f,0.0000f,-0.2475f
"Creation 7", "Models/objects/creation/creation.obj",-38.5f,7.1f,111.0f,0.13f,0.0000f,0.9929f,0.0000f,-0.1192f
"Rock", "Models/objects/rock/rock.obj",-22.0f,7.1f,93.0f,2.7f,0.0000f,0.8499f,0.0000f,0.5270f      
"Lake Wall 1", "Models/objects/lakeWall/lakeWall.obj",-9.6f,2.7f,92.7f,0.53f,0.0000f,0.2532f,0.0000f,0.9674f
"Lake Wall 2", "Models/objects/lakeWall/lakeWall.obj",-16.4f,2.7f,96.6f,0.53f,0.0000f,0.2532f,0.0000f,0.9674f
"Lake Wall 3", "Models/objects/lakeWall/lakeWall.obj",9.7f,2.7f,115.3f,0.53f,0.0000f,0.5191f,0.0000f,0.8547f
"BTS Statue", "Models/objects/btsStatue/btsStatue.obj",54.5f,7.8f,83.1f,0.55f,0.0000f,0.8663f,0.0000f,-0.4995f
"Golf Cart", "Models/vehicles/golfCart/golfCart.obj", 40.1f, 7.9f, 194.9f, 0.1f, 0f, 0f, 0f, 0f
"Flag Pole", "Models/objects/flagpole/flagpole.mesh.xml",13.3f,6.2f,116.7f,2f,0.01f,-0.35f,0f,-0.75f

# "Cup", "Models/cup.mesh.xml", -51f, 14.0f, 142f,0.1f,0f,0f,0f,0f

# Detailed Models
"Yellow Jacket", "Models/people/jacket/jacket.mesh.xml", -30.0f ,8.4f ,92f, 2f,0.0000f,0f,0f,0.5270f
"Water Tower", "Models/objects/tower/water_tower.mesh.xml", -40.5f, 23.2f, -38f, 1.5f,0f, 4f,0f,0f
"Opened Eyes", "Models/objects/openedEyes/statue.mesh.xml",-10.8f,7f,89.5f,1f,0f,-0.1918f,0f,0f

# Lampposts
"Lamppost 1", "Models/objects/lamppost/lamppost.obj",21.1f,12.6f,23.0f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 2", "Models/objects/lamppost/lamppost.obj",9.9f,12.6f,18.8f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 3", "Models/objects/lamppost/lamppost.obj",2.7f,10.4f,30.7f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 4", "Models/objects/lamppost/lamppost.obj",-14.2f,11.6f,33.2f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 5", "Models/objects/lamppost/lamppost.obj",32.0f,12.5f,20.5f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
"Lamppost 6", "Models/objects/lamppost/lamppost.obj",40.6f,8.9f,143.7f,0.12f,0.0000f,0.0000f,0.0000f,0.0000f
